Timestamp,Sex,Birth Date,Address,Parent's Cohabitation Status,Mother's Education,Father's Education,Mother's Job,Father's Job,Study Time,Activities,Health,Peer Relationship,Region,Mathematics,Physics,Chemistry,Biology,English,Civics and Ethical Education,Scholastic Aptitude Test(SAT),General Chemistry,Communicative English Skills,General Physics I,Applied Mathematics - I,Introduction to computing (Python),Introduction to Civics and Ethics,Applied Mathematics II,General Physics II,Fundamentals of Programming (C++),Basic Writing skills,Engineering Drawing,Logic and Critical Thinking,School,Department,first_gpa,second_gpa,Performance
2020/01/18 12:14:47 PM GMT+3,Female,2000-04-23,Urban,Living together,Higher Education(University or College),Higher Education(University or College),Other,Other,42,Yes,Yes,Fair,Addis Ababa,46,64,55,55,68,82,85,B,A,B-,C+,B+,B-,B+,C-,B-,A+,A+,A-,School of Electrical Engineering and Computing,Computer Science and Engineering,3.05,3.3,3.18
2020/01/18 12:16:31 PM GMT+3,Male,1998-06-02,Rural,Living together,Preparatory school(11-12),Higher Education(University or College),Other,Other,4,Yes,Yes,Good,Oromia Region,46,46,61,80,77,93,78,B,B+,C,C,B,B+,D,C-,B,A-,A+,B,School of Electrical Engineering and Computing,Computer Science and Engineering,2.79,2.66,2.72
2020/01/18 12:26:13 PM GMT+3,Male,1998-08-01,Urban,Divorced,Higher Education(University or College),Preparatory school(11-12),Other,Other,30,Yes,Yes,Good,"Southern Nations, Nationalities, and Peoples' Region",59,47,72,84,71,88,78,B+,B+,C-,C-,C+,B+,C,C,A-,B,B,C,School of Civil Engineering and Architecture,Civil Engineering,2.7,2.59,2.64
2020/01/18 12:34:59 PM GMT+3,Male,1997-06-07,Urban,Living together,Higher Education(University or College),Higher Education(University or College),Civil services(e.g. administrative or police),Teacher,21,Yes,Yes,Excellent,"Southern Nations, Nationalities, and Peoples' Region",55,40,78,86,58,87,68,B+,A,A,B+,B+,B-,A,A,A+,A,B+,A-,School of Electrical Engineering and Computing,Electronics and Communication Engineering,3.54,3.88,3.71
2020/01/18 12:35:24 PM GMT+3,Male,1997-06-07,Urban,Living together,Higher Education(University or College),Higher Education(University or College),Civil services(e.g. administrative or police),Teacher,21,Yes,Yes,Excellent,"Southern Nations, Nationalities, and Peoples' Region",55,40,78,86,58,87,68,B+,A,A,B+,B+,B-,A,A,A+,A,B+,A-,School of Electrical Engineering and Computing,Electronics and Communication Engineering,3.54,3.88,3.71
2020/01/18 12:39:12 PM GMT+3,Male,1997-06-07,Urban,Living together,Elementary school(5-8),Higher Education(University or College),At home,Teacher,50,Yes,Yes,Excellent,Amhara Region,40,36,69,85,69,86,69,C,B+,C,B+,B+,A-,B,B,A,B+,B,B+,School of Electrical Engineering and Computing,Electronics and Communication Engineering,3.07,3.32,3.19
2020/01/18 12:58:02 PM GMT+3,Male,2020-01-04,Rural,Living together,Primary school(1-4),None,Other,Other,4,Yes,Yes,Good,Oromia Region,58,48,76,79,63,83,45,B-,B-,B-,B,B+,B+,B+,B,A-,B,C,A+,School of Electrical Engineering and Computing,Electronics and Communication Engineering,3.04,3.22,3.13
2020/01/18 1:01:47 PM GMT+3,Male,1999-08-16,Urban,Living together,Preparatory school(11-12),Preparatory school(11-12),At home,Other,5,Yes,Yes,Good,"Southern Nations, Nationalities, and Peoples' Region",69,40,56,87,59,85,68,B,B,B,A-,B,A-,C-,C-,B,C+,A,C+,School of Civil Engineering and Architecture,Civil Engineering,3.28,2.54,2.91
2020/01/18 1:30:12 PM GMT+3,Male,1999-08-05,Urban,Living together,Higher Education(University or College),Elementary school(5-8),At home,Other,10,Yes,Yes,Good,Addis Ababa,58,44,58,69,71,83,85,C+,B-,C+,C,A-,B+,C,C,A-,A-,A,B+,School of Electrical Engineering and Computing,Computer Science and Engineering,2.79,3.11,2.95
2020/01/18 1:32:44 PM GMT+3,Male,2020-01-07,Rural,Living together,Higher Education(University or College),Higher Education(University or College),Teacher,Civil services(e.g. administrative or police),10,Yes,Yes,Good,Amhara Region,60,55,80,79,48,77,78,A-,B-,C+,B-,B+,B,B,C+,B+,B-,A+,B,School of Electrical Engineering and Computing,Computer Science and Engineering,3.03,3.12,3.07
2020/01/18 1:40:19 PM GMT+3,Male,2000-02-20,Urban,Living together,Higher Education(University or College),Higher Education(University or College),Other,Other,1,Yes,Yes,Good,Addis Ababa,45,56,68,80,82,76,83,B,A,C+,D,A+,B,F,C,A+,A-,B+,C,School of Electrical Engineering and Computing,Computer Science and Engineering,2.82,2.41,2.61
2020/01/18 1:40:30 PM GMT+3,Male,1998-01-04,Urban,"Together, but live in different places",Higher Education(University or College),Higher Education(University or College),Civil services(e.g. administrative or police),Civil services(e.g. administrative or police),30,Yes,Yes,Excellent,Addis Ababa,66,62,69,82,72,85,82,B,A,A,A,A,B+,A-,B+,A,A-,B,A,School of Electrical Engineering and Computing,Computer Science and Engineering,3.76,3.67,3.72
2020/01/18 1:41:58 PM GMT+3,Male,1997-12-23,Urban,Divorced,Higher Education(University or College),None,Other,Other,2,Yes,Yes,Poor,Amhara Region,88,45,68,84,44,97,83,C-,B,D,B+,B,A-,C+,B+,C+,C,B+,B+,School of Civil Engineering and Architecture,Water Resource Engineering,2.71,2.89,2.8
2020/01/18 1:44:36 PM GMT+3,Male,1999-01-22,Urban,Living together,Higher Education(University or College),Higher Education(University or College),Civil services(e.g. administrative or police),Other,2,Yes,Yes,Poor,Addis Ababa,71,87,80,87,88,94,85,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,School of Electrical Engineering and Computing,Computer Science and Engineering,4,4,4
2020/01/18 1:50:25 PM GMT+3,Male,1998-05-17,Urban,Living together,None,Preparatory school(11-12),At home,Other,6,Yes,Yes,Poor,Addis Ababa,56,56,67,87,69,72,85,A+,A-,B+,A-,A+,A-,A+,A+,A+,B+,B+,B+,"School of Mechanical, Chemical and Material Engineering",Mechanical Engineering,3.79,3.76,3.78
2020/01/18 2:18:55 PM GMT+3,Male,2000-05-02,Urban,Divorced,Higher Education(University or College),Primary school(1-4),Teacher,Other,3,Yes,Yes,Excellent,Addis Ababa,29,56,46,65,86,91,79,B-,A,C+,C-,B,B,F,C,B,A+,B+,B,School of Electrical Engineering and Computing,Electronics and Communication Engineering,2.78,2.45,2.61
2020/01/18 2:32:28 PM GMT+3,Female,1997-05-23,Urban,Living together,Elementary school(5-8),Elementary school(5-8),Other,Other,8,Yes,Yes,Good,Oromia Region,54,42,70,89,69,81,64,B-,B,B+,B,B+,B+,A,C+,A,B-,A-,B+,School of Electrical Engineering and Computing,Computer Science and Engineering,3.2,3.45,3.32
2020/01/18 2:37:06 PM GMT+3,Male,2020-12-01,Rural,Living together,Elementary school(5-8),High school(9-10),Other,Other,35,Yes,Yes,Good,Amhara Region,41,62,78,56,41,86,73,A,C+,A-,A,B+,B+,B+,A-,B+,A-,B,A-,School of Electrical Engineering and Computing,Computer Science and Engineering,3.57,3.54,3.55
2020/01/18 2:40:19 PM GMT+3,Male,1996-01-01,Urban,Living together,Higher Education(University or College),Higher Education(University or College),Teacher,Teacher,12,Yes,No,Good,"Southern Nations, Nationalities, and Peoples' Region",58,44,81,86,32,84,72,A,B+,A+,B+,B+,A,A,A,A+,A-,A,A,"School of Mechanical, Chemical and Material Engineering",Mechanical Engineering,3.74,3.96,3.85
2020/01/18 2:40:46 PM GMT+3,Male,1996-04-01,Rural,Living together,Primary school(1-4),None,At home,Other,21,Yes,Yes,Excellent,Oromia Region,57,54,78,92,58,75,60,B,B,A,B+,B+,A-,A-,A,B+,B,B-,B+,School of Electrical Engineering and Computing,Electrical Power and Control Engineering,3.46,3.43,3.45
2020/01/18 2:49:28 PM GMT+3,Male,1997-01-29,Rural,Living together,Elementary school(5-8),Preparatory school(11-12),At home,Other,14,Yes,Yes,Excellent,Amhara Region,74,44,69,78,65,87,57,A-,B,A+,B+,A,A,A,B,A+,A,C+,A-,School of Electrical Engineering and Computing,Electrical Power and Control Engineering,3.7,3.57,3.63
2020/01/18 2:57:21 PM GMT+3,Male,1996-02-18,Rural,Living together,High school(9-10),High school(9-10),At home,Other,14,No,Yes,Excellent,Oromia Region,63,44,70,84,70,69,63,B,B,A-,C+,C+,B+,C+,B,C+,B,C+,B+,School of Electrical Engineering and Computing,Electrical Power and Control Engineering,3.01,2.82,2.91
2020/01/18 3:19:48 PM GMT+3,Male,1997-09-01,Urban,Divorced,High school(9-10),Preparatory school(11-12),Civil services(e.g. administrative or police),Civil services(e.g. administrative or police),28,Yes,Yes,Good,Oromia Region,57,36,78,90,57,87,67,B,B+,B+,B+,A-,A-,B+,B+,B+,B+,A-,A-,School of Electrical Engineering and Computing,Electrical Power and Control Engineering,3.5,3.58,3.54
2020/01/18 4:22:34 PM GMT+3,Female,1998-10-10,Urban,Living together,None,None,At home,Other,12,Yes,No,Good,Amhara Region,65,42,65,70,47,65,77,B+,C-,C,A-,B+,B,A-,C,B+,B,B,B-,School of Electrical Engineering and Computing,Computer Science and Engineering,2.96,3.04,3
2020/01/18 4:32:09 PM GMT+3,Male,2000-01-18,Rural,Living together,Preparatory school(11-12),Preparatory school(11-12),Other,Other,28,Yes,Yes,Good,Oromia Region,67,66,68,87,76,90,78,A-,B+,C+,C,B+,B+,B,C+,B+,B,C+,B,School of Electrical Engineering and Computing,Computer Science and Engineering,3.07,2.92,2.99
2020/01/18 4:55:04 PM GMT+3,Female,2000-11-06,Urban,Living together,Higher Education(University or College),Higher Education(University or College),Other,Other,3,Yes,Yes,Fair,Addis Ababa,69,54,80,89,70,88,89,B,B+,C+,C+,A,B,C+,C+,A+,B+,A+,B+,"School of Mechanical, Chemical and Material Engineering",Mechanical Engineering,3.05,3.29,3.17
2020/01/18 4:57:10 PM GMT+3,Male,1999-04-05,Urban,Living together,None,High school(9-10),At home,Other,4,Yes,Yes,Good,Addis Ababa,56,54,79,73,65,77,70,A+,A,A-,A-,A+,A,B+,C+,A+,B-,A,A,School of Electrical Engineering and Computing,Computer Science and Engineering,3.91,3.46,3.68
2020/01/18 5:00:04 PM GMT+3,Male,1991-05-05,Urban,Living together,Elementary school(5-8),Preparatory school(11-12),At home,Other,8,Yes,Yes,Good,Oromia Region,66,54,76,79,52,83,79,A-,B+,C+,B+,A-,B+,B+,C+,B+,B+,A,A-,"School of Mechanical, Chemical and Material Engineering",Mechanical Engineering,3.42,3.46,3.44
2020/01/18 5:05:24 PM GMT+3,Female,1992-03-11,Urban,Living together,Elementary school(5-8),Preparatory school(11-12),At home,Other,10,Yes,Yes,Fair,"Southern Nations, Nationalities, and Peoples' Region",66,45,78,81,54,68,73,B+,A-,C,C+,B-,B+,C+,C+,B,A-,A-,B+,"School of Mechanical, Chemical and Material Engineering",Mechanical Engineering,2.97,3.13,3.05
2020/01/18 5:07:42 PM GMT+3,Male,1991-01-01,Urban,Living together,Elementary school(5-8),Preparatory school(11-12),At home,Other,9,Yes,Yes,Excellent,"Southern Nations, Nationalities, and Peoples' Region",60,44,68,89,76,80,79,B,B+,C,C+,A-,B,C,C,A-,B-,A+,B,School of Civil Engineering and Architecture,Civil Engineering,2.93,2.87,2.9
2020/01/18 5:13:11 PM GMT+3,Male,2020-01-18,Urban,Living together,Elementary school(5-8),High school(9-10),At home,Other,14,Yes,Yes,Good,"Southern Nations, Nationalities, and Peoples' Region",55,48,78,75,60,80,60,B+,C+,C+,B,A+,B+,B,C+,A+,A-,B,A-,School of Electrical Engineering and Computing,Computer Science and Engineering,3.16,3.32,3.24
2020/01/18 5:27:30 PM GMT+3,Male,1999-08-21,Urban,Living together,Elementary school(5-8),Elementary school(5-8),At home,Other,3,Yes,Yes,Excellent,Gambela Region,38,44,55,78,68,85,79,A-,B-,C+,B-,A,A-,C+,B-,A,B+,B+,A,"School of Mechanical, Chemical and Material Engineering",Mechanical Engineering,3.22,3.33,3.28
2020/01/18 5:29:30 PM GMT+3,Male,1998-09-09,Urban,Living together,Higher Education(University or College),Preparatory school(11-12),Other,Other,28,Yes,Yes,Good,Amhara Region,84,70,70,86,70,84,69,B,C+,C+,B+,B-,B,B,C+,A-,C+,B+,A-,"School of Mechanical, Chemical and Material Engineering",Mechanical Engineering,2.91,3.16,3.03
2020/01/18 5:44:12 PM GMT+3,Female,1999-06-22,Urban,Living together,Preparatory school(11-12),Higher Education(University or College),At home,Other,24,No,Yes,Good,Oromia Region,60,50,53,85,59,61,75,B,C+,C,C-,C+,B,C-,B,C+,B-,A+,B+,School of Civil Engineering and Architecture,Civil Engineering,2.42,2.86,2.64
2020/01/18 5:56:14 PM GMT+3,Female,2000-03-17,Urban,Living together,Elementary school(5-8),Preparatory school(11-12),Other,At home,4,Yes,Yes,Good,Oromia Region,55,53,53,61,69,76,80,C+,A,C,D,C+,B-,F,F,B-,A-,A-,B,School of Electrical Engineering and Computing,Computer Science and Engineering,2.38,2.09,2.24
2020/01/18 6:23:50 PM GMT+3,Female,2000-08-16,Urban,Living together,Preparatory school(11-12),Preparatory school(11-12),Other,Other,2,Yes,Yes,Good,Addis Ababa,45,40,68,78,68,80,66,B-,B+,C-,C,B,B-,C+,C,C-,A-,A-,C,School of Electrical Engineering and Computing,Computer Science and Engineering,2.59,2.62,2.61
2020/01/18 6:30:02 PM GMT+3,Male,1998-12-20,Rural,Living together,Higher Education(University or College),Higher Education(University or College),Teacher,Civil services(e.g. administrative or police),5,Yes,Yes,Good,Oromia Region,68,48,74,81,51,68,64,B+,C+,C+,B-,B+,B+,B-,C+,C+,C,B+,B-,"School of Mechanical, Chemical and Material Engineering",Mechanical Engineering,3.03,2.67,2.85
2020/01/18 6:39:16 PM GMT+3,Male,1997-05-23,Rural,Living together,Elementary school(5-8),Higher Education(University or College),At home,Civil services(e.g. administrative or police),30,Yes,Yes,Excellent,Oromia Region,54,54,83,77,54,77,54,C,B,B-,C,B,B+,A,C,B,B,A,C+,School of Electrical Engineering and Computing,Electronics and Communication Engineering,2.67,3.13,2.9
2020/01/18 6:40:06 PM GMT+3,Male,1997-05-23,Rural,Living together,Elementary school(5-8),Higher Education(University or College),At home,Civil services(e.g. administrative or police),30,Yes,Yes,Excellent,Oromia Region,54,54,83,77,54,77,54,C,B,B-,C,B,B+,A,C,B,B,A,C+,School of Electrical Engineering and Computing,Electronics and Communication Engineering,2.67,3.13,2.9
2020/01/18 7:00:52 PM GMT+3,Male,2000-05-05,Rural,"Together, but live in different places",High school(9-10),Higher Education(University or College),Civil services(e.g. administrative or police),Civil services(e.g. administrative or police),4,Yes,Yes,Good,Amhara Region,69,49,61,56,56,81,73,A-,B-,C,B-,B+,B,C+,B+,C,B-,A+,B,School of Electrical Engineering and Computing,Computer Science and Engineering,2.95,2.93,2.94
2020/01/18 7:23:29 PM GMT+3,Female,2020-04-13,Rural,Living together,Higher Education(University or College),Higher Education(University or College),Teacher,Civil services(e.g. administrative or police),14,Yes,Yes,Excellent,Addis Ababa,73,66,82,75,88,77,73,B+,A-,B-,B,A-,B,B,B-,B-,A-,A,B-,School of Electrical Engineering and Computing,Computer Science and Engineering,3.28,3.16,3.22
2020/01/18 7:26:06 PM GMT+3,Male,1996-11-02,Urban,"Together, but live in different places",Primary school(1-4),None,At home,Other,5,Yes,Yes,Excellent,Addis Ababa,88,56,80,74,52,64,68,A+,A-,A+,A+,A+,A,A+,A,A+,B-,A+,A+,School of Electrical Engineering and Computing,Computer Science and Engineering,3.96,3.8,3.88
2020/01/18 7:49:37 PM GMT+3,Male,1996-03-08,Urban,"Together, but live in different places",Preparatory school(11-12),Higher Education(University or College),Other,At home,6,Yes,Yes,Good,Oromia Region,56,48,76,92,67,78,80,B,A-,A-,A-,A,A,A-,A,A+,A,A,A-,School of Electrical Engineering and Computing,Computer Science and Engineering,3.71,3.91,3.81
2020/01/18 8:02:21 PM GMT+3,Male,2020-01-18,Rural,Living together,Higher Education(University or College),Higher Education(University or College),Other,Other,42,Yes,Yes,Excellent,Oromia Region,40,78,74,71,63,74,70,B-,B+,C,B-,B-,B+,C,C,C+,B,A-,B,School of Electrical Engineering and Computing,Computer Science and Engineering,2.87,2.67,2.77
2020/01/18 8:05:52 PM GMT+3,Female,2000-10-03,Urban,Living together,High school(9-10),High school(9-10),At home,Other,35,Yes,Yes,Good,Addis Ababa,52,53,56,65,70,81,73,A,A,C+,A-,A,B,B+,C+,B+,A,A-,B,School of Civil Engineering and Architecture,Civil Engineering,3.55,3.38,3.47
2020/01/18 8:09:01 PM GMT+3,Male,1997-09-09,Rural,Living together,None,Elementary school(5-8),At home,Other,15,Yes,Yes,Good,Tigray Region,65,54,70,78,59,77,63,A-,B-,B-,B,A+,B,A-,C+,A+,B-,B,A-,School of Electrical Engineering and Computing,Computer Science and Engineering,3.2,3.32,3.26
2020/01/18 8:16:07 PM GMT+3,Male,1997-08-23,Urban,"Together, but live in different places",Elementary school(5-8),Elementary school(5-8),Other,Other,7,Yes,Yes,Fair,Amhara Region,51,34,75,85,85,75,65,C+,A,C+,C,A-,A-,C,B+,A+,C+,C,B+,School of Electrical Engineering and Computing,Computer Science and Engineering,3.03,2.87,2.95
2020/01/18 8:41:06 PM GMT+3,Male,1999-09-26,Urban,Living together,Higher Education(University or College),Higher Education(University or College),Teacher,Teacher,16,Yes,Yes,Fair,"Southern Nations, Nationalities, and Peoples' Region",58,58,66,81,75,91,80,B+,B,B+,A,A-,A-,C-,B,A+,A,A-,A-,School of Electrical Engineering and Computing,Computer Science and Engineering,3.61,3.29,3.45
2020/01/18 8:56:42 PM GMT+3,Male,2000-02-24,Urban,Living together,Preparatory school(11-12),Preparatory school(11-12),At home,Other,4,Yes,Yes,Good,Addis Ababa,45,45,65,49,90,89,92,B,A-,D,D,B-,B+,D,F,B-,A-,A-,B-,School of Civil Engineering and Architecture,Civil Engineering,2.42,2.26,2.34
2020/01/18 9:15:21 PM GMT+3,Male,2020-01-18,Urban,Living together,Higher Education(University or College),Higher Education(University or College),Other,Other,3,No,Yes,Fair,Addis Ababa,65,67,56,61,67,84,83,B+,A,C-,B,C,C+,D,C,C,B,A,B+,School of Civil Engineering and Architecture,Architecture,2.8,2.5,2.65
2020/01/18 9:28:57 PM GMT+3,Male,2020-01-18,Urban,Living together,High school(9-10),Elementary school(5-8),At home,Other,12,Yes,Yes,Good,Oromia Region,60,46,75,90,50,95,80,A,B+,C,B,B-,B-,B,C+,B,A-,A+,A,School of Civil Engineering and Architecture,Civil Engineering,3,3.36,3.18
2020/01/18 9:36:03 PM GMT+3,Male,1994-09-22,Urban,Living together,High school(9-10),Preparatory school(11-12),Other,Other,8,Yes,Yes,Good,Addis Ababa,65,56,69,89,64,90,64,B+,A,B+,A-,A+,A+,A-,B+,A+,A,A,A,School of Electrical Engineering and Computing,Computer Science and Engineering,3.79,3.87,3.83
2020/01/18 9:41:40 PM GMT+3,Male,1996-06-27,Urban,Living together,Preparatory school(11-12),Higher Education(University or College),At home,Civil services(e.g. administrative or police),20,Yes,Yes,Excellent,Oromia Region,50,64,75,86,82,71,63,C+,A,B,B+,A+,B+,A-,A+,A+,A-,A+,A-,School of Electrical Engineering and Computing,Computer Science and Engineering,3.42,3.87,3.64
2020/01/18 10:35:04 PM GMT+3,Male,2020-12-05,Urban,"Together, but live in different places",Higher Education(University or College),Higher Education(University or College),Teacher,Teacher,7,Yes,Yes,Good,Oromia Region,67,69,84,79,56,88,74,A+,B-,B+,A-,A,A,B+,A-,A,A-,A,A,School of Civil Engineering and Architecture,Civil Engineering,3.67,3.82,3.74
2020/01/18 10:45:50 PM GMT+3,Male,2007-09-18,Rural,Living together,High school(9-10),High school(9-10),At home,Other,3,Yes,Yes,Fair,Tigray Region,432,40,63,68,79,53,67,B,B,C+,C+,A-,B+,B-,C+,A,B+,A,B+,School of Electrical Engineering and Computing,Computer Science and Engineering,3.01,3.34,3.18
2020/01/18 10:48:07 PM GMT+3,Male,1997-01-03,Urban,Living together,High school(9-10),High school(9-10),At home,Other,2,Yes,Yes,Good,Addis Ababa,49,49,62,75,72,70,69,B-,A,B+,B-,A+,B+,A,B,A+,A,A+,A,School of Electrical Engineering and Computing,Computer Science and Engineering,3.38,3.84,3.61
2020/01/18 10:52:24 PM GMT+3,Male,1998-01-11,Urban,Divorced,Elementary school(5-8),Elementary school(5-8),Other,Other,14,Yes,Yes,Excellent,"Southern Nations, Nationalities, and Peoples' Region",52,73,68,68,68,86,71,B+,A-,C,C+,B+,B+,C,C+,B+,A-,C,B+,School of Electrical Engineering and Computing,Electronics and Communication Engineering,3.09,2.83,2.96
2020/01/18 11:00:55 PM GMT+3,Female,2020-01-17,Urban,Living together,Higher Education(University or College),Higher Education(University or College),Civil services(e.g. administrative or police),Other,48,Yes,Yes,Excellent,"Southern Nations, Nationalities, and Peoples' Region",49,46,68,53,59,88,77,C+,A-,B,C-,B,B,C,B,B+,B+,B,B,School of Electrical Engineering and Computing,Computer Science and Engineering,2.78,2.95,2.86
2020/01/18 11:10:18 PM GMT+3,Female,1998-10-10,Urban,"Together, but live in different places",Higher Education(University or College),Higher Education(University or College),At home,Other,4,Yes,Yes,Good,Amhara Region,64,44,65,70,50,75,55,B,B-,C,B,B,B-,C,C-,C,A-,C+,B-,School of Electrical Engineering and Computing,Electronics and Communication Engineering,2.76,2.43,2.6
